001   ; Техническое подполье                                                ;       492,42 ;     116000,0 ;      16000,0 ;       1600,0 ;          0,0 ;              ;              ;          0,0 ; Окраска водоэмульсионными составами             ; Окраска водоэмульсионными составами ; Окраска водоэмульсионными составами    ; Окраска водоэмульсионными составами ;              ; ЗОНА   ; 0                                                                ; Зоны.АР                    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       5950,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,52 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,60 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,60 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6100,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,76 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6100,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,76 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6200,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,92 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6350,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        10,16 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6500,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        10,40 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ; 0            ; ОБЪЕКТ ; Передний план                                                    ; Полы.АР                    ; Пол     ; 1  ;        248,3 ;      84792,0 ; 004   ;            0
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ; 0            ; ОБЪЕКТ ; Подвесная система PRELUDE 24                                     ; Потолки.АР                 ; Потолок ; П7 ;        248,3 ;      84784,0 ; 004   ;            0
