       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;8,155;п.м.#дерев3,20                         ;       8,155 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;8,325;п.м.#дерев3,20                         ;       8,325 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;8,490;п.м.#дерев3,20                         ;       8,490 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;8,655;п.м.#дерев3,20                         ;       8,655 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;8,815;п.м.#дерев3,20                         ;       8,815 ; п.м.#дерев3,20 
       1 ; К   ; -;30; ; ;Общая площадь обработки;-;2,270;кв.м.                                          ;       2,270 ; кв.м.          
       1 ; К   ; -;40;К;ГОСТ 8486-86;Доска: Доска 200x50;-;4,500;п.м.#дерев10,00                         ;       4,500 ; п.м.#дерев10,00
       2 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,195;кв.м.                                          ;       0,390 ; кв.м.          
       2 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,309;кв.м.                                          ;       0,618 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,422;кв.м.                                          ;       0,422 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,423;кв.м.                                          ;       0,423 ; кв.м.          
       2 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,445;кв.м.                                          ;       0,890 ; кв.м.          
      66 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,492;кв.м.                                          ;      32,472 ; кв.м.          
       2 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,537;кв.м.                                          ;       1,074 ; кв.м.          
       2 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,652;кв.м.                                          ;       1,304 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,763;кв.м.                                          ;       0,763 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,766;кв.м.                                          ;       0,766 ; кв.м.          
       2 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,871;кв.м.                                          ;       1,742 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;0,997;кв.м.                                          ;       0,997 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;1,035;кв.м.                                          ;       1,035 ; кв.м.          
       5 ; Кб  ; -;30; ; ;Общая площадь обработки;-;1,044;кв.м.                                          ;       5,220 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;1,198;кв.м.                                          ;       1,198 ; кв.м.          
       1 ; Кб  ; -;30; ; ;Общая площадь обработки;-;1,215;кв.м.                                          ;       1,215 ; кв.м.          
       2 ; Кб  ; -;30; ; ;Общая площадь обработки;-;1,266;кв.м.                                          ;       2,532 ; кв.м.          
      55 ; Кб  ; -;30; ; ;Общая площадь обработки;-;1,282;кв.м.                                          ;      70,510 ; кв.м.          
      55 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Брусок 50x50;-;6,385;п.м.#дерев2,50                                ;     351,175 ; п.м.#дерев2,50 
       2 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;0,950;п.м.#дерев2,50                         ;       1,900 ; п.м.#дерев2,50 
       2 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;1,520;п.м.#дерев2,50                         ;       3,040 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;2,085;п.м.#дерев2,50                         ;       2,085 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;2,090;п.м.#дерев2,50                         ;       2,090 ; п.м.#дерев2,50 
       2 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;2,200;п.м.#дерев2,50                         ;       4,400 ; п.м.#дерев2,50 
      66 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;2,435;п.м.#дерев2,50                         ;     160,710 ; п.м.#дерев2,50 
       2 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;2,660;п.м.#дерев2,50                         ;       5,320 ; п.м.#дерев2,50 
       2 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;3,235;п.м.#дерев2,50                         ;       6,470 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;3,790;п.м.#дерев2,50                         ;       3,790 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;3,805;п.м.#дерев2,50                         ;       3,805 ; п.м.#дерев2,50 
       2 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;4,330;п.м.#дерев2,50                         ;       8,660 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;4,960;п.м.#дерев2,50                         ;       4,960 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;5,150;п.м.#дерев2,50                         ;       5,150 ; п.м.#дерев2,50 
       5 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;5,195;п.м.#дерев2,50                         ;      25,975 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;5,965;п.м.#дерев2,50                         ;       5,965 ; п.м.#дерев2,50 
       1 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;6,050;п.м.#дерев2,50                         ;       6,050 ; п.м.#дерев2,50 
       2 ; Кб  ; -;40;Кб;ГОСТ 8486-86;Доска: Брусок 50x50;-;6,305;п.м.#дерев2,50                         ;      12,610 ; п.м.#дерев2,50 
       2 ; Кд1 ; -;30; ; ;Общая площадь обработки;-;1,489;кв.м.                                          ;       2,979 ; кв.м.          
       4 ; Кд1 ; -;30; ; ;Общая площадь обработки;-;2,974;кв.м.                                          ;      11,898 ; кв.м.          
       2 ; Кд1 ; -;40;Кд1;ГОСТ 8486-86;Доска 148x20;-;4,415;п.м.#дерев2,96                               ;       8,830 ; п.м.#дерев2,96 
       4 ; Кд1 ; -;40;Кд1;ГОСТ 8486-86;Доска 148x20;-;8,835;п.м.#дерев2,96                               ;      35,340 ; п.м.#дерев2,96 
       2 ; Н   ; -;30; ; ;Общая площадь обработки;-;3,193;кв.м.                                          ;       6,385 ; кв.м.          
       2 ; Н   ; -;40;Н;ГОСТ 8486-86;Доска: Доска 200x50;-;6,345;п.м.#дерев10,00                         ;      12,690 ; п.м.#дерев10,00
      30 ; Р   ; -;30; ; ;Общая площадь обработки;-;0,774;кв.м.                                          ;      23,228 ; кв.м.          
      30 ; Р   ; -;40;Р;ГОСТ 8486-86;Доска: Брусок 50x25;-;5,145;п.м.#дерев1,25                          ;     154,350 ; п.м.#дерев1,25 
      66 ; С1  ; -;20;С1;Прочее;ГОСТ 27772-2015;С245;1;ГОСТ 19904-90 ;-- 2;45,0000;**;15,857;--2x150x300 ;    1046,562 ; кг.            
       2 ; С1  ; -;30; ; ;Общая площадь обработки;-;0,528;кв.м.                                          ;       1,055 ; кв.м.          
       2 ; С1  ; -;30; ; ;Общая площадь обработки;-;0,813;кв.м.                                          ;       1,625 ; кв.м.          
       1 ; С1  ; -;30; ; ;Общая площадь обработки;-;1,095;кв.м.                                          ;       1,095 ; кв.м.          
       1 ; С1  ; -;30; ; ;Общая площадь обработки;-;1,098;кв.м.                                          ;       1,098 ; кв.м.          
       2 ; С1  ; -;30; ; ;Общая площадь обработки;-;1,120;кв.м.                                          ;       2,240 ; кв.м.          
       2 ; С1  ; -;30; ; ;Общая площадь обработки;-;1,383;кв.м.                                          ;       2,765 ; кв.м.          
       2 ; С1  ; -;30; ; ;Общая площадь обработки;-;1,668;кв.м.                                          ;       3,335 ; кв.м.          
       1 ; С1  ; -;30; ; ;Общая площадь обработки;-;1,948;кв.м.                                          ;       1,948 ; кв.м.          
       1 ; С1  ; -;30; ; ;Общая площадь обработки;-;1,955;кв.м.                                          ;       1,955 ; кв.м.          
       2 ; С1  ; -;30; ; ;Общая площадь обработки;-;2,185;кв.м.                                          ;       4,370 ; кв.м.          
       1 ; С1  ; -;30; ; ;Общая площадь обработки;-;2,535;кв.м.                                          ;       2,535 ; кв.м.          
       6 ; С1  ; -;30; ; ;Общая площадь обработки;-;2,655;кв.м.                                          ;      15,930 ; кв.м.          
       1 ; С1  ; -;30; ; ;Общая площадь обработки;-;2,825;кв.м.                                          ;       2,825 ; кв.м.          
       1 ; С1  ; -;30; ; ;Общая площадь обработки;-;3,083;кв.м.                                          ;       3,083 ; кв.м.          
      55 ; С1  ; -;30; ; ;Общая площадь обработки;-;3,213;кв.м.                                          ;     176,688 ; кв.м.          
      66 ; С1  ; -;30; ;см. примечания;Покрытие тип 1;-;0,095;кв.м.                                      ;       6,241 ; кв.м.          
       2 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;1,015;п.м.#дерев10,00                        ;       2,030 ; п.м.#дерев10,00
       2 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;1,585;п.м.#дерев10,00                        ;       3,170 ; п.м.#дерев10,00
       1 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;2,150;п.м.#дерев10,00                        ;       2,150 ; п.м.#дерев10,00
       1 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;2,155;п.м.#дерев10,00                        ;       2,155 ; п.м.#дерев10,00
       2 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;2,200;п.м.#дерев10,00                        ;       4,400 ; п.м.#дерев10,00
       2 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;2,725;п.м.#дерев10,00                        ;       5,450 ; п.м.#дерев10,00
       2 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;3,295;п.м.#дерев10,00                        ;       6,590 ; п.м.#дерев10,00
       1 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;3,855;п.м.#дерев10,00                        ;       3,855 ; п.м.#дерев10,00
       1 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;3,870;п.м.#дерев10,00                        ;       3,870 ; п.м.#дерев10,00
       2 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;4,330;п.м.#дерев10,00                        ;       8,660 ; п.м.#дерев10,00
       1 ; С1  ; -;40;С1;ГОСТ 8486-86;Доска: Доска 200x50;-;5,030;п.м.#дерев10,00                        ;       5,030 ; п.м.#дерев10,00
